#Tilfeldig
0,0,Hva heter katten til Joel?,Rigmor!,Q00,A00
0,1,Bashar al assad ble nylig sendt tilbake til fortnite lobbyen. Hva drev han med før han tok tronen?,Øyelege lmao,Q01,A01
0,2,Hva blir historisk regnet som det "Siste ordentlige bankranet",NOKAS BABYYYYYY HEIA NORGEEEEEE!!!!!!!,Q02,A02
0,3,"Året er 1991: Internett og den første Linux kernelen blir introdusert til verden. Hvilken oppfinnelse vant "Queen's Award for Technological Advancement " det året",Den lille morsomme ballen i guinness boksen,Q03,A03
0,4,Hvor mange stempler er det i en mazda Rx7,0 det er en wankelmotor,Q04,A04

#Jul
1,0,Hva preget den norske julen i 2012 hart,Smørkrisen,Q10,A10
1,1,Hvorfor heter pepperkaker akkurat pepperkaker,På gammelnorsk kaltes det å krydre for å "pepre",Q11,A11
1,2,Hvor mange nordmenn spiser grandis til jul,200 000,Q12,A12
1,3,Fullfør teksten på følgende julesang: "You scumbag you maggot you cheap louzy....", Faggot,Q13,A13
1,4,Den svenske versjonen av "donald" spilles akkurat som i norge av hver jul. Men når starter den??,KL1400,Q14,A14

#Racism
2,0,Norske nyheter omtalte nylig antall kriminelle siktelser for somalere i alderen 15-24. Hva var ratioen?,2120 siktelser per 1000 inbygger,Q20,A20
2,1,Iran var nylig i nyhetene for å ville endre sexuell lavalder. Hva besluttet de?,Senke den fra 18 til 9....,Q21,A21
2,2,Danske forsvaret måler årlig IQ på alle som blir innkalt til sesjon. Hva er gjennomsnittlig IQ for alle med navnet "Mohammed",79,Q22,A22
2,3,Hva er den globale sannsynligheten for at en pakistaner er gifta med kusinen sin,50%,Q23,A23
2,4,Hvorfor burde alle asylsøkere måtte spise en Gilde ostepølse for å kunne komme inn i norge??,Ikke halal eller kosher,Q24,A24

#Oscar eller Pappa
3,0,Er denne snappen sendt av Oscar eller Joels Far,,Q30,A30
3,1,Er denne snappen sendt av Oscar eller Joels Far,,Q31,A31
3,2,Er denne snappen sendt av Oscar eller Joels Far,,Q32,A32
3,3,Er denne snappen sendt av Oscar eller Joels Far,,Q33,A33
3,4,Er denne snappen sendt av Oscar eller Joels Far,,Q34,A34

#EPIC GAMING
4,0,Hvor mye koster en AK i CS2,2700 dollar,Q40,A40
4,1,Spillet War Thunder har ett langstående problem med loven. Hvorfor?,Folk driver og lekker klassifisert informasjon på forumet deres,Q41,A41
4,2,Omtrent 42 prosent av alle profesjonelle leauge spillere sliter med ryggproblemer. Hvor mage av disse søker faktisk hjelp hos legen,2%.....,Q42,A42
4,3,Train simulator er kjent for å ha mange DLC'er hvor mye hadde det kostet og kjøpe alle?,Ca. 180 000 NOK,Q43,A43
4,4,Hvor mange "Snake" er det i metal gear solid serien,5 individer,Q44,A44

#GamingGeoGuesser
5,0,Hvor er dette??,Long Dust 2 CS,Q50,A50
5,1,Hvor er dette??,Mount Chilliad GTA5,Q51,A51
5,2,Hvor er dette??,APS på Customs i Tarkov,Q52,A52
5,3,Hvor er dette??,Estate MW2,Q53,A53
5,4,Hvor er dette??,Sierra Madre fra fallout NV,Q54,A54
